Kirkebæk	id=g:2618897
Kirial	id=g:2618898
Kindvig	id=g:2618900
Kindstrup	id=g:2618901
Kindertofte	id=g:2618902
Kinderballe	id=g:2618903
Kimmerslev	id=g:2618904
Kilsgård	id=g:2618905
Killerup	id=g:2618906
Killerup	id=g:2618907
Kilen	id=g:2618908
Kildeport	id=g:2618909
Kildekrog	id=g:2618910
Kildehuse	id=g:2618911
Kildeholm	id=g:2618912
Kildegrund	id=g:2618913
Kildegård	id=g:2618914
Kildegård	id=g:2618915
Kildebrønde	id=g:2618916
Kildebakke	id=g:2618917
Kilde	id=g:2618918
Kikkesten	id=g:2618919
Kikhavn	id=g:2618920
Kignæs	id=g:2618921
Kielstrup	id=g:2618922
Kielstrup	id=g:2618923
Kiding	id=g:2618925
Kidholme	id=g:2618926
