Troy	id=g:4280660
Troy Elementary School	id=g:4280661
Troy High School	id=g:4280662
Troy Junction (historical)	id=g:4280663
Township of Troy	id=g:4280664
Truesdell Middle School	id=g:4280665
Truevine Missionary Baptist Church	id=g:4280666
Tubbs School	id=g:4280667
Tucker Branch	id=g:4280668
Troy Airport	id=g:4280669
Tucker School (historical)	id=g:4280670
Tuggle Branch	id=g:4280671
Tucker School (historical)	id=g:4280672
Tunnel Creek	id=g:4280673
Tully School (historical)	id=g:4280674
Turck	id=g:4280675
Turkey Branch	id=g:4280676
Tunnel Mill Dam	id=g:4280677
Turkey Creek	id=g:4280678
Turkey Creek	id=g:4280679
Turkey Creek	id=g:4280680
Turkey Creek	id=g:4280681
Turkey Creek	id=g:4280682
Turkey Creek	id=g:4280683
Turkey Creek	id=g:4280684
Turkey Creek	id=g:4280685
Turkey Creek	id=g:4280686
Turkey Creek	id=g:4280687
Turkey Creek	id=g:4280688
Turkey Creek	id=g:4280689
Turkey Creek	id=g:4280690
Turkey Creek	id=g:4280691
Turkey Creek	id=g:4280692
Turkey Creek	id=g:4280693
Turkey Creek	id=g:4280694
Turkey Creek	id=g:4280695
Turkey Creek	id=g:4280696
