12T-629 Water Well	id=g:5453318
12T-630 Water Well	id=g:5453319
12T-631 Water Well	id=g:5453320
12T-632 Water Well	id=g:5453321
12T-634 Water Well	id=g:5453322
12T-635 Water Well	id=g:5453323
12T-637 Water Well	id=g:5453324
12T-640 Water Well	id=g:5453325
12T-643 Water Well	id=g:5453326
12T-646 Water Well	id=g:5453327
12T-647 Water Well	id=g:5453328
12T-649 Water Well	id=g:5453329
12T-651 Water Well	id=g:5453330
12T-654 Water Well	id=g:5453331
13 Water Well	id=g:5453332
130 Water Well	id=g:5453333
13000 Water Well	id=g:5453334
13000 Water Well	id=g:5453335
13001 Water Well	id=g:5453336
13002 Water Well	id=g:5453337
13003 Water Well	id=g:5453338
13004 Water Well	id=g:5453339
13005 Water Well	id=g:5453340
13006 Water Well	id=g:5453341
13007 Water Well	id=g:5453342
13008 Water Well	id=g:5453343
13008 Water Well	id=g:5453344
13009 Water Well	id=g:5453345
13010 Water Well	id=g:5453346
13011 Water Well	id=g:5453347
13012 Water Well	id=g:5453348
13013 Water Well	id=g:5453349
13014 Water Well	id=g:5453350
13015 Water Well	id=g:5453351
13016 Water Well	id=g:5453352
13017 Water Well	id=g:5453353
13018 Water Well	id=g:5453354
13019 Water Well	id=g:5453355
13020 Water Well	id=g:5453356
13021 Water Well	id=g:5453357
13022 Water Well	id=g:5453358
13023 Water Well	id=g:5453359
13024 Water Well	id=g:5453360
13025 Water Well	id=g:5453361
13026 Water Well	id=g:5453362
13027 Water Well	id=g:5453363
13028 Water Well	id=g:5453364
13028 Water Well	id=g:5453365
13029 Water Well	id=g:5453366
13030 Water Well	id=g:5453367
13031 Water Well	id=g:5453368
13033 Water Well	id=g:5453369
13034 Water Well	id=g:5453370
13035 Water Well	id=g:5453371
13036 Water Well	id=g:5453372
13037 Water Well	id=g:5453373
13039 Water Well	id=g:5453374
13040 Water Well	id=g:5453375
13042 Water Well	id=g:5453376
