Puhun	id=g:6774832
Wage	id=g:6774833
Gelora	id=g:6774834
Rahayu	id=g:6774835
Pakuwon	id=g:6774836
Pasir Peuris	id=g:6774837
Kelurahan Kalicilik	id=g:6774849
Desa Trengguli	id=g:6774850
Desa Boyolali	id=g:6774851
Desa Mranak	id=g:6774852
Desa Bolo	id=g:6774853
Desa Kuncir	id=g:6774854
Desa Botorejo	id=g:6774855
Desa Mrisen	id=g:6774856
Desa Kedongdong	id=g:6774857
Desa Banjarsari	id=g:6774858
Desa Sidomulyo	id=g:6774859
Desa Gedangalas	id=g:6774860
Desa Jogoloyo	id=g:6774861
Desa Sambiroto	id=g:6774862
Desa Mojodemak	id=g:6774863
Desa Jatisono	id=g:6774864
Desa Tlogorejo	id=g:6774865
Desa Pilangrejo	id=g:6774866
Desa Wonosalam	id=g:6774867
Desa Kendaldoyong	id=g:6774868
Desa Getas	id=g:6774869
Desa Surodadi	id=g:6774870
Desa Kramat	id=g:6774871
Desa Lempuyang	id=g:6774872
Desa Bunderan	id=g:6774873
Desa Ploso	id=g:6774874
Desa Karangrowo	id=g:6774875
Desa Kalianyar	id=g:6774876
Desa Kedungori	id=g:6774877
Desa Kuwu	id=g:6774878
Desa Kerang Kulon	id=g:6774879
Desa Kebonsari	id=g:6774880
Desa Turitempel	id=g:6774881
Desa Sudoharjo	id=g:6774882
Desa Tlogodowo	id=g:6774883
Desa Baleromo	id=g:6774884
Desa Trimulyo	id=g:6774885
Desa Doreng	id=g:6774886
Desa Dempet	id=g:6774887
Desa Botosengon	id=g:6774888
Desa Bumiharjo	id=g:6774889
Desa Tlogorejo	id=g:6774890
Desa Soko Kidul	id=g:6774891
Desa Jerukgulung	id=g:6774892
Desa Gaji	id=g:6774893
Kelurahan Kadilangu	id=g:6774894
Desa Tlogomulyo	id=g:6774895
Desa Solowire	id=g:6774896
Desa Kunir	id=g:6774897
Desa Tunjungharjo	id=g:6774898
Desa Ringinharjo	id=g:6774899
Desa Sarimulyo	id=g:6774900
Desa Tlogosih	id=g:6774901
Desa Megonten	id=g:6774902
Desa Babat	id=g:6774903
Kecamatan Dempet	id=g:6774904
Kecamatan Wonosalam	id=g:6774905
Kecamatan Gajah	id=g:6774906
Kumpul Kidul	id=g:6774907
Kumpul Lor	id=g:6774908
Kalicilik	id=g:6774909
Karangturi	id=g:6774910
Singorejo	id=g:6774911
Krajanbetokan	id=g:6774912
Beji	id=g:6774913
Tempuran	id=g:6774914
Cabean	id=g:6774915
Gesik	id=g:6774916
Betoreco	id=g:6774917
Krajan	id=g:6774918
Kalice	id=g:6774919
Temuireng	id=g:6774920
Mijen	id=g:6774921
Sari	id=g:6774922
Boyolali	id=g:6774923
Krajan	id=g:6774924
Kaligawe	id=g:6774925
Genggongan	id=g:6774926
Banyon	id=g:6774927
Sorogenen	id=g:6774928
Kenep	id=g:6774929
Petengan Selatan	id=g:6774930
Petengan Utara	id=g:6774931
Ngemplak Wetan	id=g:6774932
Tempel	id=g:6774933
Krapyak	id=g:6774934
Tanubayan	id=g:6774935
Boto	id=g:6774936
Sekaran	id=g:6774937
Bendungan	id=g:6774938
Krajan	id=g:6774939
Perbal	id=g:6774940
Suruhan	id=g:6774941
Karangturi	id=g:6774942
Kletih	id=g:6774943
Gawing	id=g:6774944
Dakwos	id=g:6774945
Karangpanggang	id=g:6774946
Ngepung	id=g:6774947
Mrisen	id=g:6774948
Mayong	id=g:6774949
Bogorame	id=g:6774950
Kauman	id=g:6774951
Sampangan	id=g:6774952
Stinggil	id=g:6774953
Pecaon	id=g:6774954
Merbotan	id=g:6774955
Rejosari	id=g:6774956
Dukuh-dukuh	id=g:6774957
Botorejokrajan	id=g:6774958
Nglorok	id=g:6774959
Trangkil	id=g:6774960
Tapen	id=g:6774961
Kuncir	id=g:6774962
Rejasari	id=g:6774963
Banjarsari	id=g:6774964
Katonsari	id=g:6774965
Perumnas	id=g:6774966
Jogoloyo Lor	id=g:6774967
Tegong	id=g:6774968
Tembiring	id=g:6774969
Jobar	id=g:6774970
Duwet	id=g:6774971
Klawean	id=g:6774972
Krandon	id=g:6774973
Mandungan	id=g:6774974
Kradenan	id=g:6774975
Kerang Kulon	id=g:6774976
Pandogan	id=g:6774977
Kedondong	id=g:6774978
Bangoan	id=g:6774979
Jogoloyokrajan	id=g:6774980
Jogoloyo Kidul	id=g:6774981
Blambangan	id=g:6774982
Brangkal	id=g:6774983
Sampit Wetan	id=g:6774984
Sampit Kulon	id=g:6774985
Soring	id=g:6774986
Kerang Wetan	id=g:6774987
Demung Lor	id=g:6774988
Tlogojati	id=g:6774989
Soko	id=g:6774990
Gedangalas	id=g:6774991
Bogo	id=g:6774992
Klayu	id=g:6774993
Sambiroto	id=g:6774994
Palong	id=g:6774995
Mijen	id=g:6774996
Kendaldoyong	id=g:6774997
Drono	id=g:6774998
Purwosari	id=g:6774999
Demung Kidul	id=g:6775000
Jetak	id=g:6775001
Jati	id=g:6775002
Mojodemak	id=g:6775003
Jatisono	id=g:6775004
Ngrandu	id=g:6775005
Wedian	id=g:6775006
Krajan	id=g:6775007
Sadangan	id=g:6775008
Grogol	id=g:6775009
Karangsambung	id=g:6775010
Pampang Lor	id=g:6775011
Pampang Kidul	id=g:6775012
Pilangsari	id=g:6775013
Demung Wetan	id=g:6775014
Gagung	id=g:6775015
Getas	id=g:6775016
Prayungan	id=g:6775017
Surodadi	id=g:6775018
Kramat	id=g:6775019
Kali Tuntang	id=g:6775020
Plosokauman	id=g:6775021
Kalitogeh	id=g:6775022
Plosokrajan	id=g:6775023
Puyang	id=g:6775024
Lempuyang	id=g:6775025
Tlogoipang	id=g:6775026
Tanggulangin	id=g:6775027
Boma	id=g:6775028
Kuwu	id=g:6775029
Muteran	id=g:6775030
Kemloka	id=g:6775031
Plosodukuh	id=g:6775032
Pismalang	id=g:6775033
Nglekok	id=g:6775034
Darapayung	id=g:6775035
Leres	id=g:6775036
Karangrowo	id=g:6775037
Ceguk	id=g:6775038
Kalianyar	id=g:6775039
Ngemplak	id=g:6775040
Bunderan	id=g:6775041
Botosiman	id=g:6775042
Kebonsari	id=g:6775043
Ngacir	id=g:6775044
Tempel	id=g:6775045
Turi	id=g:6775046
Klego	id=g:6775047
Sindon	id=g:6775048
Tlogodowo	id=g:6775049
Terban	id=g:6775050
Karanganyar	id=g:6775051
Kembangarum	id=g:6775052
Kedungori	id=g:6775053
Winong	id=g:6775054
Tempel	id=g:6775055
Pangkalan Lor	id=g:6775056
Bomo	id=g:6775057
Kali Bis	id=g:6775058
Bakung	id=g:6775059
Pojok	id=g:6775060
Kamal	id=g:6775061
Kandang Lor	id=g:6775062
Kandang	id=g:6775063
Solondoko	id=g:6775064
Solowire	id=g:6775065
Pangkalan Kidul	id=g:6775066
Muludan	id=g:6775067
Wonopolo	id=g:6775068
Dungkul	id=g:6775069
Baleromo	id=g:6775070
Tanggungharjo	id=g:6775071
Jerukgulung	id=g:6775072
Ngablak	id=g:6775073
Totol	id=g:6775074
Walang	id=g:6775075
Cangkring	id=g:6775076
Gobang	id=g:6775077
Doreng	id=g:6775078
Karangmalang	id=g:6775079
Solowire	id=g:6775080
Soko Kidul	id=g:6775081
Logantung	id=g:6775082
Genting	id=g:6775083
Magoan	id=g:6775084
Cangkring	id=g:6775085
Kepitu	id=g:6775086
Kunir Lor	id=g:6775087
Peluk	id=g:6775088
Kunir	id=g:6775089
Prayungan Kulon	id=g:6775090
Gayas	id=g:6775091
Paiton	id=g:6775092
Tlogopring	id=g:6775093
Goleng	id=g:6775094
Srekan Lor	id=g:6775095
Bandung Lor	id=g:6775096
Kunir Kidul	id=g:6775097
Tompe	id=g:6775098
