Messe Düsseldorf	id=g:6947337
Bahnhof München Rosenheimer Platz	id=g:6947443
Messe München	id=g:6947449
Bahnhof Düsseldorf Flughafen	id=g:6947460
Botanischer Garten Düsseldorf	id=g:6947461
Düsseldorfer Marionetten-Theater	id=g:6947462
Düsseldorfer Schauspielhaus	id=g:6947463
Düsseldorfer Schloss	id=g:6947464
Filmmuseum Düsseldorf	id=g:6947465
Forum Freies Theater	id=g:6947466
Graf-Adolf-Platz	id=g:6947467
Heinrich-Heine-Allee	id=g:6947468
Heinrich-Heine-Universität Düsseldorf	id=g:6947470
Hetjens-Museum	id=g:6947471
Hofgärtnerhaus Düsseldorf	id=g:6947472
Kom(m)ödchen	id=g:6947473
Bahnhof Köln Messe/Deutz	id=g:6947475
Hauptbahnhof Köln	id=g:6947476
Worringer Bahnhof	id=g:6947477
Köln-Chorweiler	id=g:6947478
Köln-Ehrenfeld	id=g:6947479
Köln-Kalk	id=g:6947480
Köln-Lindenthal	id=g:6947481
Köln-Mülheim	id=g:6947482
Köln-Nippes	id=g:6947483
Köln-Porz	id=g:6947513
Alter Markt	id=g:6947516
Deutzer Brücke	id=g:6947517
Fachhochschule Köln	id=g:6947519
Hohenzollernbrücke	id=g:6947520
Hohenzollernbrücke	id=g:6947521
Klettenbergpark	id=g:6947524
Kölner Zoo	id=g:6947526
Kölner Zoo	id=g:6947527
Lanxess Arena	id=g:6947529
Museum Ludwig	id=g:6947530
Museum Ludwig	id=g:6947531
Oper Köln	id=g:6947532
Römisch-Germanisches Museum	id=g:6947533
Schauspiel Köln	id=g:6947534
Universität zu Köln	id=g:6947535
Volksgarten	id=g:6947536
Volksgarten	id=g:6947537
Vorgebirgspark	id=g:6947538
Worringer Bruch	id=g:6947539
Messe Köln	id=g:6947540
Fritz-Encke-Volkspark	id=g:6947542
Innenstadt	id=g:6947544
Blücherpark	id=g:6947545
Kölner Karnevalsmuseum	id=g:6947547
Rheinpark	id=g:6947553
Römerturm	id=g:6947555
Weltstadthaus	id=g:6947556
Hetjens-Museum	id=g:6947558
Aquazoo – Löbbecke Museum	id=g:6947807
Kunst im Tunnel	id=g:6947810
Kunstakademie Düsseldorf	id=g:6947811
Kunsthalle Düsseldorf	id=g:6947812
Kunstsammlung Nordrhein-Westfalen	id=g:6947813
Königsallee	id=g:6947814
Mahn- und Gedenkstätte Düsseldorf	id=g:6947816
Marktplatz Düsseldorf	id=g:6947817
museum kunst palast	id=g:6947819
Rathaus Düsseldorf	id=g:6947820
Ratinger Tor	id=g:6947821
Rheinkniebrücke	id=g:6947822
Schloss Benrath	id=g:6947823
Schloss Jägerhof	id=g:6947824
Schloss Kalkum	id=g:6947825
Schloss Mickeln	id=g:6947826
St. Lambertus	id=g:6947827
St. Suitbertus	id=g:6947828
Stadttor Düsseldorf	id=g:6947829
Ständehaus	id=g:6947830
Tonhalle Düsseldorf	id=g:6947831
Zoologischer Garten Düsseldorf	id=g:6947832
Messe Düsseldorf	id=g:6947833
Groß St. Martin	id=g:6947848
Schokoladenmuseum	id=g:6947849
Kölner Philharmonie	id=g:6947851
Wallraf-Richartz-Museum	id=g:6947852
Settmecke	id=g:6947948
Seidfeld	id=g:6947949
Kößlmühle bei Vohenstrauß	id=g:6948307
Hotel Friesenhof, Trassenheide	id=g:6948342
Flughafen Stuttgart	id=g:6948508
Bahnhof Stuttgart-Obertürkheim	id=g:6948510
Stuttgart Nordbahnhof	id=g:6948512
Alte Schloss	id=g:6948514
Altes Steinhaus	id=g:6948515
Bismarckturm Stuttgart	id=g:6948518
Carl Zeiss Planetarium	id=g:6948520
Gedenkstätte am Nordbahnhof	id=g:6948522
Hohenheimer Gärten	id=g:6948523
Hospitalkirche	id=g:6948525
Killesbergturm	id=g:6948537
Kunstmuseum Stuttgart	id=g:6948538
Markthalle	id=g:6948539
Max-Eyth-See	id=g:6948540
Neckartalviadukt Untertürkheim	id=g:6948541
Neues Schloss	id=g:6948542
Porsche-Museum	id=g:6948543
Rathaus Stuttgart	id=g:6948544
Rosensteinpark	id=g:6948545
Schauspielbühnen Stuttgart	id=g:6948546
Schloss Hohenheim	id=g:6948547
Schloss Rosenstein	id=g:6948548
Schlossgarten	id=g:6948578
SI-Centrum	id=g:6948579
Staatsgalerie Stuttgart	id=g:6948580
Staatstheater Stuttgart	id=g:6948581
Stiftskirche	id=g:6948582
Stuttgarter Eichenhain	id=g:6948583
Theater am Olgaeck	id=g:6948585
Weißenburgpark	id=g:6948586
Leonhardskirche	id=g:6948588
Messe Stuttgart	id=g:6948589
Fichtelberg Haus	id=g:6948901
