Henridorff	id=g:3013508
Bois d'Henrichemont	id=g:3013509
Henrichemont	id=g:3013510
Hénoville	id=g:3013511
Hénouville	id=g:3013512
Hénonville	id=g:3013513
Hénon	id=g:3013514
Hennicourt	id=g:3013515
Hennezis	id=g:3013516
Hennezel	id=g:3013517
Henneveux	id=g:3013518
Hennemont	id=g:3013519
Hennecourt	id=g:3013520
Hennebont	id=g:3013521
Henne	id=g:3013522
Hénin-sur-Cojeul	id=g:3013523
Héninel	id=g:3013524
Hénin-Beaumont	id=g:3013525
Hengwiller	id=g:3013526
Hengoat	id=g:3013527
Heugnes	id=g:3013528
Henflingen	id=g:3013529
Hénencourt	id=g:3013530
Hendecourt-lès-Ransart	id=g:3013531
Hendecourt-lès-Cagnicourt	id=g:3013532
Hendaye-Plage	id=g:3013533
Hendaye	id=g:3013534
Hénansal	id=g:3013535
Hénanbihen	id=g:3013536
Hénaménil	id=g:3013537
Hémonstoir	id=g:3013538
Hem-Monacu	id=g:3013539
Hem-Lenglet	id=g:3013540
Héming	id=g:3013541
Hémilly	id=g:3013542
Hem-Hardinval	id=g:3013543
Hémévillers	id=g:3013544
Hémevez	id=g:3013545
Hémering	id=g:3013546
Hémécourt	id=g:3013547
Hem	id=g:3013548
Hem	id=g:3013549
Helten	id=g:3013550
Helstroff	id=g:3013551
Héloup	id=g:3013552
Roch Hélou	id=g:3013553
Helling	id=g:3013554
Hellin	id=g:3013555
Hellimer	id=g:3013556
Helleville	id=g:3013557
Forêt du Hellet	id=g:3013558
Hellés	id=g:3013559
Hellering-lès-Fénétrange	id=g:3013560
Hellenvilliers	id=g:3013561
Hellen	id=g:3013562
Hellemmes-Lille	id=g:3013563
Helléan	id=g:3013564
Plateau de la Helle	id=g:3013565
Chenal de la Helle	id=g:3013566
Hélicourt	id=g:3013567
Helfrantzkirch	id=g:3013568
Helfaut	id=g:3013569
Hélette	id=g:3013570
Hélesmes	id=g:3013571
Hélès	id=g:3013572
Bois du Hélas	id=g:3013573
Heiwiller	id=g:3013574
Heiteren	id=g:3013575
Heippes	id=g:3013576
Heining-lès-Bouzonville	id=g:3013577
Heimsbrunn	id=g:3013578
Heimersdorf	id=g:3013579
Heiltz-l'Évêque	id=g:3013580
Heiltz-le-Maurupt	id=g:3013581
Heiltz-le-Hutier	id=g:3013582
Heilly	id=g:3013583
Heilles	id=g:3013584
Heillecourt	id=g:3013585
Heiligenstein	id=g:3013586
Heiligenbronn	id=g:3013587
Heiligenberg	id=g:3013588
Heidwiller	id=g:3013589
Heidolsheim	id=g:3013590
Heidenkopf	id=g:3013591
Hégenheim	id=g:3013592
Hegeney	id=g:3013593
Hédouville	id=g:3013594
Hédival	id=g:3013595
Hédé	id=g:3013596
Hédauville	id=g:3013597
Hectot	id=g:3013598
Hectomare	id=g:3013599
Hecq	id=g:3013600
Hécourt	id=g:3013601
Hécourt	id=g:3013602
Hecmanville	id=g:3013603
Hecken	id=g:3013604
Hèches	id=g:3013605
Hébuterne	id=g:3013606
Héberville	id=g:3013607
Hébert	id=g:3013608
Hébécrevon	id=g:3013609
Hébécourt	id=g:3013610
Hébécourt	id=g:3013611
Héauville	id=g:3013612
Heaumet	id=g:3013613
Gave de Héas	id=g:3013614
Château du Hazey	id=g:3013615
Hazembourg	id=g:3013616
Canaux d'Hazebrouck	id=g:3013617
Canal d'Hazebrouck	id=g:3013618
Hazebrouck	id=g:3013619
Forêt de Hayra	id=g:3013620
Haynecourt	id=g:3013621
Bois du Hayet	id=g:3013622
Ferme des Hayes	id=g:3013623
Hayes	id=g:3013624
Forêt de Haye	id=g:3013625
Haybes	id=g:3013626
Hayange	id=g:3013627
Havys	id=g:3013628
Bois d'Havrincourt	id=g:3013629
Havrincourt	id=g:3013630
Entrée du Havre de Regnéville	id=g:3013631
Havre de Brouage	id=g:3013632
Arrondissement du Havre	id=g:3013633
Hâvre	id=g:3013634
Haverskerque	id=g:3013635
Havernas	id=g:3013636
