Potato Creek	id=g:6211538
Station Stream	id=g:6211539
Mount Orr Stream	id=g:6211540
Penticotico Stream	id=g:6211541
Penticotico Stream	id=g:6211542
Waitaki River	id=g:6211543
Gully Creek	id=g:6211544
Newsomes Creek	id=g:6211545
Otekaieke River	id=g:6211546
Otiake River	id=g:6211547
Sandstone Creek	id=g:6211548
Fluming Gully	id=g:6211549
Fraters Creek	id=g:6211550
Boundary Creek	id=g:6211551
Otematata River	id=g:6211552
Lone Creek	id=g:6211553
Hut Creek	id=g:6211554
Cattle Gully	id=g:6211555
Kurow River	id=g:6211556
Little Awakino River	id=g:6211557
Little Awakino River	id=g:6211558
Coal Stream	id=g:6211559
Deep Stream	id=g:6211560
McRae Creek	id=g:6211561
Baker Creek	id=g:6211562
Lake Waitaki	id=g:6211563
Fern Gully Creek	id=g:6211564
Dry Stream	id=g:6211565
Boundary Stream	id=g:6211566
Rugged Ridges Creek	id=g:6211567
Banks Stream	id=g:6211568
Station Creek	id=g:6211569
Parsons Rock Creek	id=g:6211570
Lake Aviemore	id=g:6211571
Fraser Stream	id=g:6211572
Mount Parker	id=g:6211573
Meyer	id=g:6211574
Station Peak	id=g:6211575
Mount Orr	id=g:6211576
Tara	id=g:6211577
CAMPBELL HILLS	id=g:6211578
Station Peak	id=g:6211579
Corrie	id=g:6211580
Little Roderick	id=g:6211581
Waikaura	id=g:6211582
Waikaura Downs	id=g:6211583
Burnlea	id=g:6211584
Waitoura Creek	id=g:6211585
Lone Hill	id=g:6211586
Glen Mac	id=g:6211587
Mount Bell	id=g:6211588
Otekaieke	id=g:6211589
Kenmore	id=g:6211590
Kinloch	id=g:6211591
Sunny Downs	id=g:6211592
Charleston	id=g:6211593
Alpha Downs	id=g:6211594
Bosavern	id=g:6211595
Waipati	id=g:6211596
Lundie Braes	id=g:6211597
Cliffside	id=g:6211598
Otekaieke	id=g:6211599
Mount Otekaike	id=g:6211600
Black Hill	id=g:6211601
Wainui	id=g:6211602
The Swamp	id=g:6211603
Glenmac	id=g:6211604
Clarksfield	id=g:6211605
Mount Parker	id=g:6211606
Brunswick Downs	id=g:6211607
Hakataramea	id=g:6211608
Hakataramea River	id=g:6211609
Foveran	id=g:6211610
Tabletop	id=g:6211611
Mount Menzies	id=g:6211612
Hurstlea	id=g:6211613
Avonlea	id=g:6211614
Omakare	id=g:6211615
Monteath	id=g:6211616
Belfield	id=g:6211617
Readlands	id=g:6211618
Viewfield	id=g:6211619
Kirkliston	id=g:6211620
Caberfeidh	id=g:6211621
Broadacres	id=g:6211622
Maungatiro	id=g:6211623
Te Akatarawa	id=g:6211624
KIRKLISTON RANGE	id=g:6211625
