Sheddsville Cemetery	id=g:5240997
Sheddsville Hill	id=g:5240998
Sheep Hill	id=g:5240999
Sheffield	id=g:5241000
Sheffield Heights	id=g:5241001
Sheffield Heights-Cass Cemetery	id=g:5241002
Sheffield Municipal Forest	id=g:5241003
Sheffield Square	id=g:5241004
Town of Sheffield	id=g:5241005
Shelburne	id=g:5241006
Shelburne Airport	id=g:5241007
Shelburne Bay	id=g:5241008
Shelburne Bay Plaza Shopping Center	id=g:5241009
Shelburne Camping Area	id=g:5241010
Shelburne Community School	id=g:5241011
Shelburne Falls	id=g:5241012
Shelburne Farms Airport	id=g:5241013
Shelburne Museum	id=g:5241014
Shelburne Museum Research Library	id=g:5241015
Shelburne Point	id=g:5241016
Shelburne Pond	id=g:5241017
Shelburne Post Office	id=g:5241018
Shelburne Road Cemetery	id=g:5241019
Shelburne Road Plaza Shopping Center	id=g:5241020
Shelburne Shipyard	id=g:5241021
Shelburne Shipyard	id=g:5241022
Shelburne Shoal	id=g:5241023
Shelburne Shopping Park Shopping Center	id=g:5241024
Shelburne Village Cemetery	id=g:5241025
Shelburne Village Historic District	id=g:5241026
Town of Shelburne	id=g:5241027
Sheldon	id=g:5241028
Sheldon Brook	id=g:5241029
Shaw Meadow Airport	id=g:5241030
Sheldon Dam	id=g:5241031
Sheldon Elementary School	id=g:5241032
Sheldon Hill	id=g:5241033
Sheldon Home Association Cemetery	id=g:5241034
