Gora Storozhevoy	id=g:2120930
Mys Storozheva	id=g:2120931
Bukhta Storozh	id=g:2120932
Storozh	id=g:2120933
Gora Stolovaya	id=g:2120934
Gora Stolovaya	id=g:2120935
Mys Stoletiya	id=g:2120936
Stolbovskiye Gory	id=g:2120937
Ozero Stolbovoye	id=g:2120938
Vulkan Stolbovoy	id=g:2120939
Ostrovok Stolbovoy	id=g:2120940
Mys Stolbovoy	id=g:2120941
Mys Stolbovoy	id=g:2120942
Mys Stolbovoy	id=g:2120943
Khrebet Stolbovaya Tundra	id=g:2120944
Stolbovaya	id=g:2120945
Stolbovaya	id=g:2120946
Mys Stolbchatyy	id=g:2120947
Gora Stokap	id=g:2120948
Stekol’nyy	id=g:2120949
Staryy Sangalakh	id=g:2120950
Staryy Nabil’	id=g:2120951
Staryy Mayn	id=g:2120952
Staryy Kheydzhan	id=g:2120953
Staryye Vayegi	id=g:2120954
Staryy Eschan	id=g:2120955
Staryye Koryaki	id=g:2120956
Gora Starshiy Brat	id=g:2120957
Mys Starshiny	id=g:2120958
Starorusskoye	id=g:2120959
Staromayachnoye	id=g:2120960
Mys Starogavanskiy	id=g:2120961
Starodubskoye	id=g:2120962
Staroaynskoye	id=g:2120963
Bukhta Starka	id=g:2120964
Gora Staritsnogo	id=g:2120965
Poluostrov Staritskogo	id=g:2120966
Mys Staritskogo	id=g:2120967
Staritskiy	id=g:2120968
Staritsa	id=g:2120969
Staritsa	id=g:2120970
Starikovo	id=g:2120971
Starichkova	id=g:2120972
Ostrov Starichkov	id=g:2120973
Staraya Tar'ya	id=g:2120974
Staraya Sedanka	id=g:2120975
Staraya Gavan'	id=g:2120976
Mys Stanyukovicha	id=g:2120977
Pereval Stanovoy	id=g:2120978
Pereval Stanovok	id=g:2120979
Gora Stanovaya	id=g:2120980
Stanovaya	id=g:2120981
Stanovaya	id=g:2120982
Stanovaya	id=g:2120983
Mys Stanitskogo	id=g:2120984
Stanchik	id=g:2120985
Stakhanovskoye	id=g:2120986
Protoka Stadukhinskaya	id=g:2120987
Ozero Srubtaakh	id=g:2120988
Gora Srezannaya	id=g:2120989
Srednyaya Vorovskaya	id=g:2120990
Srednyaya Tangi	id=g:2120991
Srednyaya Pakhacha	id=g:2120992
Srednyaya Kravcha	id=g:2120993
Srednyaya Itkana	id=g:2120994
Srednyaya Guba	id=g:2120995
Srednyaya Avacha	id=g:2120996
Protoka Srednyaya	id=g:2120997
Gora Srednyaya	id=g:2120998
Bukhta Srednyaya	id=g:2120999
