Kaluwarippuwa North	id=g:7437571
Katana North	id=g:7437572
Welihena North	id=g:7437573
Maha Etgala	id=g:7437574
Etgala South	id=g:7437575
Welinena West	id=g:7437576
Daluwakotuwa North	id=g:7437577
Kattuwa	id=g:7437578
Dalupotha East	id=g:7437579
Pottodaya	id=g:7437580
Pahala Kandawala	id=g:7437581
Ihala Kandawala	id=g:7437582
Kaluwarippuwa West	id=g:7437583
Nattandiya Division	id=g:7437584
Pannala Division	id=g:7437585
Dankotuwa Division	id=g:7437586
Wennappuwa Division	id=g:7437587
Divulapitiya Division	id=g:7437588
Walahapitiya Wewa	id=g:7437589
Sagaragama Wewa	id=g:7437590
Werellagama Wewa	id=g:7437591
Pitadeniya Wewa	id=g:7437592
Dankotuwa West	id=g:7437593
Pambayapatta Wewa	id=g:7437594
Melwatta Wewa	id=g:7437595
Nambiritankadawera Wewa	id=g:7437596
Helena Wewa	id=g:7437597
Singha Wewa	id=g:7437598
Sandanangama Wewa	id=g:7437599
Jambugaswadiya Wewa	id=g:7437600
Kahatapitiya Wewa	id=g:7437601
Nulankattibamme Wewa	id=g:7437602
Patta Wewa	id=g:7437603
Mellawa Wewa	id=g:7437604
Sirigampola Wewa	id=g:7437605
Negombo Puttalam Canal	id=g:7437606
Makandura Wewa	id=g:7437607
Potuwatavana Wewa	id=g:7437608
Nelunwila Wewa	id=g:7437609
Katukenda West	id=g:7437610
Hamalawa	id=g:7437611
Nugawela	id=g:7437612
Hayat Group	id=g:7437613
Maradawatte	id=g:7437614
Udukiyamulla	id=g:7437615
Horwadduna	id=g:7437616
Medikele	id=g:7437617
Pannala Group	id=g:7437618
Deberaliadde	id=g:7437619
Wellakele	id=g:7437620
Danwalaagara	id=g:7437621
Horakele Watta	id=g:7437622
Maranda Colony	id=g:7437623
Agara	id=g:7437624
Galwala	id=g:7437625
Kotuwahandiya	id=g:7437626
Sagaragama	id=g:7437627
Ramagewatta	id=g:7437628
Franklin	id=g:7437629
Gunananda Maha Vidyalaya	id=g:7437630
Kalyani Viharaya	id=g:7437631
Katuwahena	id=g:7437632
Udawela Viharaya	id=g:7437633
Catherine	id=g:7437634
Medikele Colony	id=g:7437635
Lourdes Diyabubulaa Agarekele Estate	id=g:7437636
Clurera	id=g:7437637
Cross Thotum	id=g:7437638
Ambagahalanda	id=g:7437639
Punchipalama	id=g:7437640
Egodagoda	id=g:7437641
Uldiyakanatta	id=g:7437642
Miranda	id=g:7437643
Talwilawella	id=g:7437644
Kahatagahawatta	id=g:7437645
Selliah	id=g:7437646
Gurugodella	id=g:7437647
Charlton	id=g:7437648
Peiriswatta Colony	id=g:7437649
Welipennagahamulla	id=g:7437650
Ilippugamuwa	id=g:7437651
Johanesland	id=g:7437652
Geriland Group	id=g:7437653
Keenakele	id=g:7437654
Kandetiya	id=g:7437655
Kahatabolle	id=g:7437656
Duriyangashandiya	id=g:7437657
Bowatta	id=g:7437658
Thamankada Watta	id=g:7437659
Keenakele Estate Group Six	id=g:7437660
Kambiwatta	id=g:7437661
Modarawella	id=g:7437662
Thaldeka	id=g:7437663
Wennappuwa North	id=g:7437664
Wennappuwa South	id=g:7437665
