Orovičko Brdo	id=g:3239916
Tatići	id=g:3239917
Dugo	id=g:3239918
Milutinovići	id=g:3239920
Živanovići	id=g:3239921
Drmnik	id=g:3239922
Drmnik	id=g:3239923
Jelićino Brdo	id=g:3239925
Momići	id=g:3239927
Šarampov	id=g:3239928
Vasica Vis	id=g:3239930
Boljavina	id=g:3239936
Brđani	id=g:3239938
Stanisići	id=g:3239939
Savina Glava	id=g:3239940
Lazin Vis	id=g:3239941
Parlog	id=g:3239943
Mrtološ	id=g:3239948
Brištica	id=g:3239949
Novačevica Pećina	id=g:3239951
Miškovića Reka	id=g:3239952
Rudnik	id=g:3239953
Tomino Brdo	id=g:3239954
Pešići	id=g:3239955
Obradovići	id=g:3239957
Turski Grob	id=g:3239958
Orljuska Reka	id=g:3239960
Krnja Jela	id=g:3239961
Gornja Mala	id=g:3239963
Bojići	id=g:3239964
Bijelina	id=g:3239966
Vinogradi	id=g:3239968
Nenadovići	id=g:3239970
Grabovački Potok	id=g:3239977
Matića Brdo	id=g:3239981
Kik	id=g:3239986
Kalemi	id=g:3239987
Vasiljići	id=g:3239989
Stara Sudnica	id=g:3239991
Potnjak	id=g:3239992
Mali Cip	id=g:3239997
Koševina	id=g:3239998
Raskršće	id=g:3240000
Cerje	id=g:3240004
Stira Potok	id=g:3240005
Drenik	id=g:3240008
Perina	id=g:3240009
Duboki Potok	id=g:3240010
Jovičići	id=g:3240026
Kovačevići	id=g:3240027
Miškovac	id=g:3240028
Brezovica	id=g:3240030
Mićanovsko Brdo	id=g:3240031
Čerga	id=g:3240032
Rakovica	id=g:3240033
Terzića Mala	id=g:3240034
Sklop	id=g:3240075
Rebelj	id=g:3240076
Oštrelj	id=g:3240082
Goleš	id=g:3240083
Brezovice	id=g:3240084
Vranovac	id=g:3240085
Mioljača Brdo	id=g:3240086
Poljanice	id=g:3240087
Vučjak	id=g:3240088
Dubrava	id=g:3240090
Miljeva Kosa	id=g:3240091
Palež	id=g:3240092
Donji Radići	id=g:3240093
Ðukanovići	id=g:3240094
Ravni Potok	id=g:3240096
Todorovići	id=g:3240097
Nikolići	id=g:3240098
Vasići	id=g:3240099
Barice	id=g:3240101
Lukići	id=g:3240103
Vajkovača	id=g:3240104
Nestorovići	id=g:3240106
Česta	id=g:3240107
Jasička Kosa	id=g:3240109
Crni Radalj	id=g:3240112
Čista Glavica	id=g:3240114
Radići	id=g:3240118
Vajnovići	id=g:3240120
Stankovići	id=g:3240121
Donje Brdo	id=g:3240124
Vladičica	id=g:3240127
Valje	id=g:3240128
Duboko Selo	id=g:3240129
Emrići	id=g:3240131
Ostojići	id=g:3240132
Radaljska Banja	id=g:3240153
Veliki Radalj	id=g:3240155
Kovačevići	id=g:3240156
Tadići	id=g:3240157
Mali Radalj	id=g:3240158
Alovlje	id=g:3240159
Kostići	id=g:3240160
Lazina Voda	id=g:3240161
Koljibabići	id=g:3240162
Popovići	id=g:3240163
Kojići	id=g:3240166
Rnjakovac	id=g:3240167
Zlastup	id=g:3240168
Vasići	id=g:3240169
Peckovo Brdo	id=g:3240170
Sugreb	id=g:3240171
