Pohyŏn-sa	id=g:6795965
Pohyŏn-sa	id=g:6795966
Pohyŏn-sa	id=g:6795967
P’ojil-li	id=g:6795968
P’ojŏl-li	id=g:6795969
Pokchŏ-bawi	id=g:6795970
Pokhwa-san	id=g:6795971
Pokkŏri-dong	id=g:6795972
Poksang-gol	id=g:6795973
Poksang-gol	id=g:6795974
Poksiŭl	id=g:6795975
Poksol	id=g:6795976
Pokt’al-li	id=g:6795977
Pok-to	id=g:6795978
Poktŏgwŏn	id=g:6795979
Pŏlbau	id=g:6795980
Pŏlbawi-gol	id=g:6795981
Pŏl-mal	id=g:6795982
Pŏl-mal	id=g:6795983
Pŏl-mal	id=g:6795984
Pŏl-mal	id=g:6795985
Pŏl-mal	id=g:6795986
Pŏl-mal	id=g:6795987
Pŏlmal-soryuji	id=g:6795988
Pŏl-maŭl	id=g:6795989
Pŏlmuni	id=g:6795990
Pŏltaeam	id=g:6795991
Pŏltam	id=g:6795992
Pŏlt’ongbaengi-san	id=g:6795993
Pŏlt’ongbawi	id=g:6795994
Pŏlttae	id=g:6795995
Pŏltwi	id=g:6795996
Pomaegi	id=g:6795997
P’omae-ri	id=g:6795998
Pŏmbau	id=g:6795999
Pŏmbau-gol	id=g:6796000
Pŏmbawi	id=g:6796001
Pŏmbawi-gogae	id=g:6796002
Pŏmbawi-gol	id=g:6796003
Pŏmch’ang-gol	id=g:6796004
Pŏmp’ajŏng	id=g:6796005
Pomun-sa	id=g:6796006
P’onam-ch’odŭnghakkyo	id=g:6796007
P’onam-dong	id=g:6796008
P’onami-dong	id=g:6796009
P’onamil-tong	id=g:6796010
P’onamiltong-samuso	id=g:6796011
Ponburak	id=g:6796012
Pon-dong	id=g:6796013
Pon-dong	id=g:6796014
Pon-dong	id=g:6796015
Pon-dong	id=g:6796016
Pon-dong	id=g:6796017
Pon-dong	id=g:6796018
Pon-dong	id=g:6796019
Pon-dong	id=g:6796020
Pon-dong	id=g:6796021
Pon-dong	id=g:6796022
Pon-dong	id=g:6796023
Pon-dong	id=g:6796024
Pon-dong	id=g:6796025
Pongam-sa	id=g:6796026
Pongam-sa	id=g:6796027
Pongbul-sa	id=g:6796028
Pongdae	id=g:6796029
Pongdae-ch’odŭnghakkyo	id=g:6796030
Pongdae-soryuji	id=g:6796031
Pongdugaeul	id=g:6796032
Pong-gol	id=g:6796033
Ponghak-sa	id=g:6796034
Ponghwaap	id=g:6796035
Ponghwa-bong	id=g:6796036
Ponghwach’i	id=g:6796037
Ponghwa-jae	id=g:6796038
Ponghwangdae	id=g:6796039
Ponghwang-ni	id=g:6796040
Ponghwang-san	id=g:6796041
Ponghwang-san	id=g:6796042
Ponghwa-san	id=g:6796043
Ponghwa-san	id=g:6796044
Ponghyŏn	id=g:6796045
Ponghyŏn-dong	id=g:6796046
Pongjang	id=g:6796047
Pongjŏng	id=g:6796048
Pongjŏng-ni	id=g:6796049
Pongjŏng-sa	id=g:6796050
Pongjŏng-sa	id=g:6796051
Pongmi-dong	id=g:6796052
Pongnaei-gyo	id=g:6796053
Pongnim-san	id=g:6796054
Pong-san	id=g:6796055
Pongsan-dong	id=g:6796056
Pongsŏn-sa	id=g:6796057
Pongu	id=g:6796058
Pŏn’gu-dong	id=g:6796059
