Zanja Barra	id=g:4568931
Zanja Blanca	id=g:4568932
Zanja Negra	id=g:4568933
Zanja San José	id=g:4568934
Zona Industrial Boulevardo Maria	id=g:4568935
Zona Portuaria	id=g:4568936
Yaurel	id=g:4568957
Centro Minillas	id=g:4828994
Truman	id=g:4829031
Parguera	id=g:4829032
College Park	id=g:4829033
Cuba	id=g:4829034
Canal de Rio Yaguez	id=g:4829035
Quebrada Seca	id=g:4829036
Rio Piedras	id=g:4829037
Universidad Inter-Americana	id=g:4829041
Villa Real	id=g:4829042
Central Cayey	id=g:4829770
Puerto Rico Convention Center	id=g:6458700
Rincon Beach Resort	id=g:6458701
Caribe Hilton	id=g:6458702
Ventana al Mar	id=g:6458925
Howard Johnson Ponce	id=g:6463956
Embassy Suites Dorado Del Mar Golf - Beach Resort	id=g:6464239
San Juan Water and Beach Club Hotel	id=g:6464472
Hotel El Convento	id=g:6465319
Best Western Hotel Pierre	id=g:6465720
Rio Mar Beach Resort & Spa	id=g:6466050
Radisson Ambassador	id=g:6466064
Martineau Bay Resort and Spa	id=g:6466151
Parador Palmas De Lucia	id=g:6466220
The Villas at Palmas	id=g:6467184
Copamarina Beach Resort	id=g:6470824
Caribe Playa Beach Resort	id=g:6471004
El San Juan Hotel & Casino	id=g:6471873
Embassy Suites Hotel & Casino San Juan	id=g:6474602
Hilton Ponce Golf & Casino Resort	id=g:6477537
Hampton Inn & Suites San Juan	id=g:6479478
San Juan Marriott Resort and Stellaris Casino	id=g:6482197
El Conquistador Resort & Golden Door Spa	id=g:6490262
Sunrise Beach Inn & Spa	id=g:6491733
Club Bon-Accord	id=g:6492634
Holiday Inn San Juan	id=g:6492861
Costa Bonita Resort Villas	id=g:6493198
Inn on the Blue Horizon	id=g:6493219
Hosteria Del Mar	id=g:6493399
Villa Cofresi Hotel	id=g:6493553
Parador Costa del Mar	id=g:6493634
Parador Guanica 1929	id=g:6493663
Howard Johnson Hotel - Isla Verde	id=g:6494034
Howard Johnson Old San Juan	id=g:6494226
Four Points by Sheraton Palmas del Mar Resort	id=g:6494733
Howard Johnson Downtown Mayaguez	id=g:6494749
Dos Angeles del Mar Guesthouse	id=g:6494962
Las Casitas Village & Golden Door Spa	id=g:6498124
Casa Del Caribe	id=g:6499567
At Wind Chimes Inn	id=g:6499633
Villa Montana Beach Resort	id=g:6499738
Paradisus Puerto Rico	id=g:6500926
Rincon of the Seas - Grand Caribbean Hotel	id=g:6501279
Hyatt Hacienda Del Mar	id=g:6502116
Four Points by Sheraton Caguas Real	id=g:6502558
Lazy Parrot Inn And Restaurant	id=g:6502958
Courtyard by Marriott San Juan Isla Verde	id=g:6503155
Sheraton Old San Juan Hotel	id=g:6504060
The Mango Inn	id=g:6505456
Esj Towers	id=g:6506184
Hj Htl Carolina San Juan Pr	id=g:6506599
Villa Montana Beach Resort	id=g:6506802
Mayaguez Resort And Casino	id=g:6506913
Las Casitas Village	id=g:6507139
Melia Hotel	id=g:6509083
El Portal Hotel	id=g:6509851
Hotel Milano	id=g:6510129
El Canario By The Lagoon	id=g:6512040
Ceiba Country Inn	id=g:6512175
Parador Vistamar	id=g:6512196
Ritz-Carlton San Juan Casino	id=g:6512346
El Canario Inn	id=g:6512363
Horned Dorset Primavera	id=g:6512451
Coqui Inn	id=g:6516871
Golden Sands Villas	id=g:6519169
Hotel Villa Del Rey	id=g:6519521
