Saint Stanislas Bay	id=g:4030901
Ritiati	id=g:4030902
Rawaki Island	id=g:4030903
Rapa-iti	id=g:4030904
Rapa Canoe Pass	id=g:4030905
Pyramid Point	id=g:4030906
Tabuaeran Lagoon	id=g:4030907
AUA Point	id=g:4030908
Pig Islet	id=g:4030909
Phoenix Seamounts	id=g:4030910
Phoenix Islands	id=g:4030911
Fareturaina - Gilberts Settlers	id=g:4030912
former Paris Village	id=g:4030913
Orona Island	id=g:4030914
North West Point	id=g:4030916
North East Point	id=g:4030919
North Cape	id=g:4030920
Noriti	id=g:4030921
Nikumaroro Island	id=g:4030922
Napia	id=g:4030924
Nake Island	id=g:4030925
Paelau	id=g:4030926
Metaua Point	id=g:4030928
McKean Island	id=g:4030930
Manulu Lagoon	id=g:4030931
Manra Island	id=g:4030932
Cape Manning	id=g:4030934
Malden Island Anchorage	id=g:4030935
Malden Island	id=g:4030936
Long Island	id=g:4030937
London Anchorage	id=g:4030938
London	id=g:4030939
Line Islands	id=g:4030940
Line Islands	id=g:4030941
Kukutin	id=g:4030942
Kitty Point	id=g:4030943
Kiritimati Island	id=g:4030944
Republic of Kiribati	id=g:4030945
Kanton Island	id=g:4030946
The Isles Lagoon	id=g:4030947
Grieg Point	id=g:4030948
Fenua-ura	id=g:4030951
English Harbour	id=g:4030952
Enderbury Island	id=g:4030953
English Harbour Pier	id=g:4030954
Cook Island Passage	id=g:4030955
Cook Island	id=g:4030956
Cecile Peninsula	id=g:4030961
Cartwright Point	id=g:4030962
Caroline Island	id=g:4030964
Brothers Islet	id=g:4030965
Bridges Point Light	id=g:4030966
David's Point	id=g:4030967
