Sukamakmur	id=g:6594545
Sukawangi	id=g:6594546
Sukamanah	id=g:6594547
Kutajaya	id=g:6594548
Krajan	id=g:6594549
Kamurang	id=g:6594550
Ci Lamaran	id=g:6594551
Cidampuy	id=g:6594552
Krajan Dua	id=g:6594553
Krajan Satu	id=g:6594554
Bambuduri	id=g:6594555
Tegalkoneng	id=g:6594556
Jatimulya Dua	id=g:6594557
Jatimulya Satu	id=g:6594558
Jatiudik Satu	id=g:6594559
Buniaga	id=g:6594560
Kampung Tengah	id=g:6594561
Kandangbiru	id=g:6594562
Buyur	id=g:6594563
Petar	id=g:6594564
Kalanganyar	id=g:6594565
Pacing Timur	id=g:6594566
Pacing Barat	id=g:6594567
Palawad	id=g:6594568
Mareleng	id=g:6594569
Stasiun Kereta Api Kedunggede	id=g:6594570
Kaum	id=g:6594571
Karajan	id=g:6594572
Pondokresmi	id=g:6594573
Babakantoge	id=g:6594574
Babaton	id=g:6594575
Kiaralawang	id=g:6594576
Sindanglaya	id=g:6594577
Panglay	id=g:6594578
Babakanloa	id=g:6594579
Leuewungsireum	id=g:6594580
Pasirgadung	id=g:6594581
Wanajayadesa	id=g:6594582
Wanajaya	id=g:6594583
Tanjung	id=g:6594584
Tanahbeureum	id=g:6594585
Rawabagi	id=g:6594586
Tanjungsari	id=g:6594587
Babakantengah	id=g:6594588
Rawakihujan	id=g:6594589
Tegaltanjung	id=g:6594590
Babakan	id=g:6594591
Pasirtepus	id=g:6594592
Sangkali	id=g:6594593
Babakan	id=g:6594594
Benteng	id=g:6594595
Nangewer	id=g:6594596
Babakandemak	id=g:6594597
Babakan	id=g:6594598
Jatimulya	id=g:6594599
Jatijaya	id=g:6594600
Bobojong	id=g:6594601
Pamundayan	id=g:6594602
Leuwilaban	id=g:6594603
Leuwiasem	id=g:6594604
Telukmungkal	id=g:6594605
Pasirjengkol	id=g:6594606
Pasirbangkuang	id=g:6594607
Pasirmalang	id=g:6594608
Kepuhkalapadua	id=g:6594609
Kebunkalapa	id=g:6594610
Kepuhnagasari	id=g:6594611
Citeureup	id=g:6594612
Karees	id=g:6594613
Karangtengah	id=g:6594614
Krajan Satu	id=g:6594615
Babakanjabon	id=g:6594616
Ciranggon Barat	id=g:6594617
Ciranggon Timur	id=g:6594618
