Ponta Cumanda	id=g:2370663
Ponta Crato	id=g:2370664
Ponta Coti	id=g:2370665
Ponta Costa	id=g:2370666
Ponta Corrente	id=g:2370667
Ponta Consolação	id=g:2370668
Ponta Conselho	id=g:2370669
Ponta Compito	id=g:2370670
Ponta Codé	id=g:2370671
Ponta Camilo	id=g:2370672
Ponta Califórnia	id=g:2370673
Ponta Caeiro	id=g:2370674
Ponta Cabral	id=g:2370675
Ponta Cabacande	id=g:2370676
Ponta Brandão	id=g:2370677
Ponta Boa Vista	id=g:2370678
Ponta Boa Esperança	id=g:2370679
Ponta Boa Esperança	id=g:2370680
Ponta Blom	id=g:2370681
Ponta Bernardo Soares	id=g:2370682
Ponta Benjamim Correia	id=g:2370683
