Massecane	id=g:1101566
Met. Livre	id=g:1101567
Brejo Chigongue	id=g:1101568
Paulo	id=g:1101569
Licononuine	id=g:1101570
Mapene	id=g:1101571
Lago Nhevo	id=g:1101572
Ciguita	id=g:1101573
São Sebastião	id=g:1101574
Cabo Dzimane	id=g:1101575
São Marcos	id=g:1101576
Chefe Tiane	id=g:1101577
Chimechuane	id=g:1101578
São João Evangelista	id=g:1101579
Cabo Chitsotso	id=g:1101580
Chefe Runduca	id=g:1101581
Chefe Chicopa	id=g:1101582
Cabo Marrule	id=g:1101583
Met. Episcopal	id=g:1101584
Segrada Familia	id=g:1101585
Hati-Hati	id=g:1101586
Tauzene	id=g:1101587
Met. Episcopal	id=g:1101588
Mahanga	id=g:1101589
Chimbanda	id=g:1101590
Mabinguene	id=g:1101591
Cabo Nhachocho	id=g:1101592
Mabate	id=g:1101593
Delemane	id=g:1101594
Silva	id=g:1101595
Cabo Maiaice	id=g:1101596
Chichavane	id=g:1101597
Chapo	id=g:1101598
Penguele	id=g:1101599
São João Brito	id=g:1101600
Cabo Mahavisse	id=g:1101601
Pencela	id=g:1101602
Cabo Sitila	id=g:1101603
Cabo Matala	id=g:1101604
Santo António	id=g:1101605
Brejo Nhalifué-ou Nhanvuane	id=g:1101606
Met. Livre	id=g:1101607
Lago Nhachipene	id=g:1101608
Cabo Mahate	id=g:1101609
Cabo Matecheque	id=g:1101610
Maconjo	id=g:1101611
Cabo Macovane	id=g:1101612
Penane	id=g:1101613
São Pascoal Bailão	id=g:1101614
Alfanete	id=g:1101615
Cabo Dimande III	id=g:1101616
Santilal Porxotamo	id=g:1101617
Seangamo	id=g:1101618
