Sungai Sembatang	id=g:1820192
Tanjong Semasta	id=g:1820193
Sungai Semabat	id=g:1820194
Selirong Forest Reserve	id=g:1820195
Tanjong Selirong	id=g:1820196
Sungai Selirong	id=g:1820197
Bukit Selila	id=g:1820198
Bukit Selayun	id=g:1820199
Pulau Selawat	id=g:1820200
Sungai Selapan	id=g:1820201
Sungai Selanjak	id=g:1820202
Sungai Selangan Batu	id=g:1820203
Sungai Selangan	id=g:1820204
Sungai Seladan	id=g:1820205
Sungai Sekurop Besar	id=g:1820206
Pulau Sekurop	id=g:1820207
Tanjong Sekina	id=g:1820208
Sungai Segiran	id=g:1820209
Sungai Sebunyak	id=g:1820210
Bukit Sebuara	id=g:1820211
