Palmers Island	id=g:6234613
Palmers Beach	id=g:6234614
Pitokuku Island	id=g:6234615
The Sugar Loaf	id=g:6234616
Medlands Beach	id=g:6234617
Oruawharo Bay	id=g:6234618
Shakespeare Point	id=g:6234619
Great Barrier Island (Aotea Island)	id=g:6234620
Cape Barrier	id=g:6234621
Tryphena Harbour	id=g:6234622
Bird Islet	id=g:6234623
Claris	id=g:6234624
Puriri Bay	id=g:6234625
Tryphena	id=g:6234626
Northwest Bay	id=g:6234627
Northwest Point	id=g:6234628
Okupu	id=g:6234629
Grand View	id=g:6234630
Needle Rocks	id=g:6234631
Oruawharo	id=g:6234632
Goat Hill	id=g:6234633
Windy Hill	id=g:6234634
Tawapou Point	id=g:6234635
South Point	id=g:6234636
Moko Bay	id=g:6234637
Groper Point	id=g:6234638
Radar Point	id=g:6234639
Cuvier Island (Repanga Island)	id=g:6234640
Blanket Bay	id=g:6234641
West Point	id=g:6234642
Camp Bay	id=g:6234643
Amodeo Rocks	id=g:6234644
Taylors Bay	id=g:6234645
Tryphena Point	id=g:6234646
Sandy Bay	id=g:6234647
Okahutahi Stream	id=g:6234648
Carey Bay	id=g:6234649
Parakete Stream	id=g:6234650
Rauporoa Bay	id=g:6234651
Pohatuwhakairi Bay	id=g:6234652
Potiki Bay	id=g:6234653
Okiore Stream	id=g:6234654
Te Karaka Bay	id=g:6234655
Ahirau Stream	id=g:6234656
Maurea Stream	id=g:6234657
Kairaumati Stream	id=g:6234658
Whareroa Stream	id=g:6234659
Huakitoetoe Stream	id=g:6234660
Tuateawa Stream	id=g:6234661
Mataiterangi Stream	id=g:6234662
Wharetaua Stream	id=g:6234663
Wairakau Stream	id=g:6234664
Pakore Stream	id=g:6234665
Wairiri Stream	id=g:6234666
Pungapunga River	id=g:6234667
Wyuna Bay	id=g:6234668
McGregor Bay	id=g:6234669
Whakanekeneke Stream	id=g:6234670
Whangarahi Stream	id=g:6234671
Peachgrove Bay	id=g:6234672
Titree Bay	id=g:6234673
Horseshoe Bay	id=g:6234674
Double Bay	id=g:6234675
Sandy Bay	id=g:6234676
Matapaua Bay	id=g:6234677
Opito Bay	id=g:6234678
Red Bay	id=g:6234679
Hole in the Wall	id=g:6234680
Huruhi Harbour	id=g:6234681
Rocky Bay	id=g:6234682
Ototoro Stream	id=g:6234683
Otama River	id=g:6234684
Motukoruenga Island	id=g:6234685
Boulder Isthmus	id=g:6234686
Opito Point	id=g:6234687
Humbug Bay	id=g:6234688
Motukoranga Island	id=g:6234689
Devils Point	id=g:6234690
Mahinapua Rocks	id=g:6234691
Papatai Point	id=g:6234692
Otama	id=g:6234693
Whangapoua Harbour	id=g:6234694
Motuhua Point	id=g:6234695
Arimawhai Point	id=g:6234696
Opitoiti Point	id=g:6234697
Taiwhatiwhati Point	id=g:6234698
Omataonga Point	id=g:6234699
Oruaki Point	id=g:6234700
Te Whanga Bay	id=g:6234701
Awaroa Point	id=g:6234702
Ururaha Point	id=g:6234703
Bumper Cove	id=g:6234704
