Long Lake	id=g:5260846
Long Lake	id=g:5260847
Long Lake	id=g:5260848
Long Lake	id=g:5260849
Long Lake	id=g:5260850
Long Lake	id=g:5260851
Long Lake	id=g:5260852
Long Lake	id=g:5260853
Long Lake	id=g:5260854
Long Lake	id=g:5260855
Long Lake	id=g:5260856
Long Lake	id=g:5260857
Long Lake	id=g:5260858
Long Lake	id=g:5260859
Long Lake	id=g:5260860
Long Lake	id=g:5260861
Long Lake	id=g:5260862
Long Lake	id=g:5260863
Long Lake	id=g:5260864
Long Lake	id=g:5260865
Long Lake	id=g:5260866
Long Lake 13.4	id=g:5260867
Long Lake 82	id=g:5260868
Long Lake Branch	id=g:5260869
Long Interlaken Lake	id=g:5260870
Long Lake Cemetery	id=g:5260871
Long Lake Church	id=g:5260872
Long Lake Civilian Conservation Corps Camp (historical)	id=g:5260873
Long Lake Creek	id=g:5260874
Long Lake Cemetery	id=g:5260875
Long Lake Flowage 3WR237 Dam	id=g:5260876
Long Lake Lookout Lower	id=g:5260877
Long Lake Outlet	id=g:5260878
Long Lake Dam	id=g:5260879
Long Lake Picnic Area	id=g:5260880
Long Lake Public Access	id=g:5260881
Long Lake Recreation Area	id=g:5260882
Long Lake School (historical)	id=g:5260883
Long Lake School (historical)	id=g:5260884
Long Lake School (historical)	id=g:5260885
Long Lake Townhall	id=g:5260886
Town of Long Lake	id=g:5260887
Town of Long Lake	id=g:5260888
Long Mile Lookout Tower	id=g:5260889
Long Nebagamon Rapids	id=g:5260890
Long Pine School (historical)	id=g:5260891
Long Point	id=g:5260892
Long Point	id=g:5260893
Long Point Reef	id=g:5260894
Long Pond	id=g:5260895
Long Riffles	id=g:5260896
Long School (historical)	id=g:5260897
Long Slide Falls	id=g:5260898
Long Slide Falls County Park	id=g:5260899
Long Slough	id=g:5260900
Long Tail Point	id=g:5260901
Long Trade Lake	id=g:5260902
Long Trade Lake 45	id=g:5260903
Long Valley	id=g:5260904
Long Lake Park	id=g:5260905
Long Valley Creek	id=g:5260906
Long Valley Cemetery	id=g:5260907
Longfellow Elementary School	id=g:5260908
Longfellow Elementary School	id=g:5260909
Longfellow Elementary School	id=g:5260910
Longfellow Elementary School	id=g:5260911
Longfellow Elementary School	id=g:5260912
Longfellow Junior High School	id=g:5260913
Longfellow Middle School	id=g:5260914
Longfellow School	id=g:5260915
Longfellow School	id=g:5260916
Longfellow School (historical)	id=g:5260917
Longfellow School (historical)	id=g:5260918
Longfellow School (historical)	id=g:5260919
Longfellow School (historical)	id=g:5260920
Longfellow School (historical)	id=g:5260921
Longview School (historical)	id=g:5260922
Longview School (historical)	id=g:5260923
Longwood	id=g:5260924
Longwood Cemetery	id=g:5260925
Town of Longwood	id=g:5260926
Lookout	id=g:5260927
Lookout Lutheran Church	id=g:5260928
