Phumĭ Rôméas Chhôr (2)	id=g:1825317
Phumĭ Rôméas Chhôr (1)	id=g:1825318
Phumĭ Rôméas	id=g:1825319
Phumĭ Rômeăng Sâr	id=g:1825320
Phumĭ Rômat	id=g:1825321
Phumĭ Rôluŏs (3)	id=g:1825322
Phumĭ Rôluŏs (2)	id=g:1825323
Phumĭ Rôluŏs (2)	id=g:1825324
Phumĭ Rôluŏs Prâsnĕb	id=g:1825325
Phumĭ Rôluŏs Chăs	id=g:1825326
Phumĭ Rôluŏs	id=g:1825327
Phumĭ Rôluŏs	id=g:1825328
Phumĭ Rôluŏs	id=g:1825329
Phumĭ Rôluŏs	id=g:1825330
Phumĭ Rôluŏs	id=g:1825331
Phumĭ Rôluŏs	id=g:1825332
Phumĭ Rôluŏs	id=g:1825333
Phumĭ Rôluŏs	id=g:1825334
Phumĭ Rôluŏs	id=g:1825335
Phumĭ Rôluŏs	id=g:1825336
Phumĭ Rôlum Vêng	id=g:1825337
Phumĭ Rôlŭm Tuk	id=g:1825338
Phumĭ Rôlum Thmâ	id=g:1825339
Phumĭ Rôlŭm Sâsâr	id=g:1825340
Phumĭ Rôlum Poŭthĭ	id=g:1825341
Phumĭ Rôlum Chrey	id=g:1825342
Phumĭ Rôlum	id=g:1825343
Phumĭ Rôlôch	id=g:1825344
Phumĭ Rôliĕk	id=g:1825345
Phumĭ Rôliĕk	id=g:1825346
Phumĭ Rôleăng Tœ̆k	id=g:1825347
Phumĭ Rôleăng Sângkê	id=g:1825348
Phumĭ Rôleăng Kreul	id=g:1825349
Phumĭ Rôleăng	id=g:1825350
Phumĭ Rôleăng	id=g:1825351
Phumĭ Rôleăng	id=g:1825352
Phumĭ Rôléak	id=g:1825353
Phumĭ Rôléab (1)	id=g:1825354
Phumĭ Rôléab Tông	id=g:1825355
Phumĭ Rôléab	id=g:1825356
Phumĭ Rôkoŭ	id=g:1825357
Phumĭ Rôkat Thum	id=g:1825358
Phumĭ Rôka Tông	id=g:1825359
Phumĭ Rôka Thvéa (2)	id=g:1825360
Phumĭ Rôka Thvéa (1)	id=g:1825361
Phumĭ Rôka Thum	id=g:1825362
Phumĭ Rôka Thum	id=g:1825363
Phumĭ Rôkar (2)	id=g:1825364
Phumĭ Rôkar Yéa	id=g:1825365
Phumĭ Rôkar Thum (1)	id=g:1825366
Phumĭ Rôkar Thum	id=g:1825367
Phumĭ Rôkar Thum	id=g:1825368
Phumĭ Rôkar Thum	id=g:1825369
Phumĭ Rôkar Pôprăm	id=g:1825370
Phumĭ Rôkar Phœ̆ng	id=g:1825371
Phumĭ Rôkar Khpós	id=g:1825372
Phumĭ Rôkar Khnuŏch	id=g:1825373
