Auarla	id=g:343177
Auangero	id=g:343178
Aual Tirre	id=g:343180
Aual Ghinda	id=g:343183
Aual Edo	id=g:343184
Aual Alle	id=g:343185
Auada	id=g:343186
Auachir	id=g:343187
Aua	id=g:343188
Aua	id=g:343189
Atzalo	id=g:343190
Atzala	id=g:343191
Atuo	id=g:343192
Āts’mī Harmaz	id=g:343194
Āts’iwa	id=g:343195
Āts’gebta	id=g:343196
Āts’geba Ābo Bēte Kristīyan	id=g:343197
Āts’ey Weyn	id=g:343198
Āts’ē Washa	id=g:343199
Āts’ets’a Medhanē ‘Alem Bēte Kristīyan	id=g:343200
Āts’ets’a	id=g:343201
Āts’eb Lihīn Mīka’ēl Bēte Kristīyan	id=g:343202
Āts’eb Lihīn	id=g:343203
Āts’are Shet’	id=g:343205
Āts’ala K’īrk’os Bēte Kristīyan	id=g:343206
Āts’agaytī	id=g:343207
Āts’af Terara	id=g:343208
Atrona	id=g:343209
Atquaro	id=g:343212
Ato Micael	id=g:343213
Ato Gondas	id=g:343214
Atofen	id=g:343215
Āt’net	id=g:343216
Ātnago	id=g:343217
Ātkilt	id=g:343218
Āt’īyu YeDur Bota	id=g:343219
Āt’ir Geda Shet’	id=g:343220
Āt’ī’ona	id=g:343221
Āt’īlē	id=g:343222
Āt’īla	id=g:343223
Atiep	id=g:343224
Āt’geba Bota	id=g:343226
Āt’ē Washa Maryam Bēte Kristīyan	id=g:343228
Āt’ēt’aft	id=g:343229
Āt’erwa	id=g:343230
Āterēn	id=g:343231
Āt’ela	id=g:343233
Āt’egeba	id=g:343234
Āt’ēch’ama	id=g:343235
Atebes	id=g:343236
Āt’ebela Shet’	id=g:343237
Āt’ebela	id=g:343238
Āt’ebela	id=g:343239
Atebei	id=g:343240
Ātdub YeWiha Gudgwad	id=g:343241
Āt’aye Shet’	id=g:343243
Ātaya	id=g:343244
Āt’at’ Timhirt Bēt	id=g:343245
Āt’ara Mīka’ēl Bēte Kristīyan	id=g:343246
Ātakilt	id=g:343248
Ataie	id=g:343249
Ata Belage	id=g:343250
Ataba	id=g:343251
Āszīmew	id=g:343252
Asui	id=g:343255
