Wangapeka Track	id=g:6242340
Wangapeka Track	id=g:6242341
Kiwi Shelter	id=g:6242342
Kings Creek Hut	id=g:6242343
Kings Hut	id=g:6242344
Rolling Junction Hut	id=g:6242345
Wangapeka Base Hut	id=g:6242346
Pike Peak	id=g:6242347
MATIRI RANGE	id=g:6242348
Hurricane Hut	id=g:6242349
Haystack Hut	id=g:6242350
The Needle	id=g:6242351
Larrikins Creek Hut	id=g:6242352
The Haystack	id=g:6242353
MATIRI RANGE	id=g:6242354
Poor Pete's Hut	id=g:6242355
McConchies Hut	id=g:6242356
Ben Murray	id=g:6242357
Trent Peak	id=g:6242358
Mount Baigent	id=g:6242359
BALD KNOB RIDGE	id=g:6242360
MARINO MOUNTAINS	id=g:6242361
Branch Creek Hut	id=g:6242362
Poverty Basin	id=g:6242363
Replica Hill	id=g:6242364
Mount Owen	id=g:6242365
Pisa	id=g:6242366
Sunrise Peak	id=g:6242367
Sentinel Hill	id=g:6242368
Mount Bell	id=g:6242369
Sanctuary Basin	id=g:6242370
Ghost Valley	id=g:6242371
Granity Pass Hut	id=g:6242372
Billies Knob	id=g:6242373
Culliford Hill	id=g:6242374
Dogface Flat	id=g:6242375
HOPE RANGE	id=g:6242376
Conical Hill	id=g:6242377
Quentin Creek	id=g:6242378
Painkiller Creek	id=g:6242379
Thousand Acres Plateau	id=g:6242380
Castle Basin	id=g:6242381
PINCHBACK RANGE	id=g:6242382
Staircase	id=g:6242383
Tui	id=g:6242384
Granity Creek	id=g:6242385
Stag Flat Shelter	id=g:6242386
Little Wanganui Saddle	id=g:6242387
Saddle Lakes	id=g:6242388
Golden Bay	id=g:6242389
Winter Creek	id=g:6242390
Tata Bay	id=g:6242391
Whariwharangi Bay	id=g:6242392
Mutton Cove	id=g:6242393
Anatakapau Bay	id=g:6242394
Kaikau Stream	id=g:6242395
Patons Rock	id=g:6242396
Rangihaeata Head	id=g:6242397
Rangihaeata	id=g:6242398
Waitapu	id=g:6242399
Clifton	id=g:6242400
Pohara	id=g:6242401
Limestone Bay	id=g:6242402
Tarakohe	id=g:6242403
Abel Tasman Monument	id=g:6242404
Tata Beach	id=g:6242405
Pigeon Saddle	id=g:6242406
Ngawhiti Island	id=g:6242407
Motu Island	id=g:6242408
Uarau Point	id=g:6242409
Taupo Point	id=g:6242410
Anatimo	id=g:6242411
Centre Peak	id=g:6242412
Gibbs Hill	id=g:6242413
Whariwharangi Hut	id=g:6242414
Ratakura Point	id=g:6242415
Totaranui	id=g:6242416
Totaranui Beach	id=g:6242417
Awaroa Saddle	id=g:6242418
Takapou Bay	id=g:6242419
Takapou	id=g:6242420
Burial Point	id=g:6242421
Jordan River	id=g:6242422
Foley Creek	id=g:6242423
Atua Stream	id=g:6242424
Apahai Creek	id=g:6242425
Brooklyn Stream	id=g:6242426
Riwaka	id=g:6242427
Ngaio Bay	id=g:6242428
Otuwhero Inlet	id=g:6242429
Tinline Bay	id=g:6242430
Holyoake Stream	id=g:6242431
South Branch Riwaka River	id=g:6242432
The Gorge Creek	id=g:6242433
Waitui Stream	id=g:6242434
Takaka River	id=g:6242435
Takaka River	id=g:6242436
Rheumatic Creek	id=g:6242437
Kill Devil Creek	id=g:6242438
Craigieburn Creek	id=g:6242439
Washaway Creek	id=g:6242440
Pigville Gully	id=g:6242441
Dry Creek	id=g:6242442
Anatoki River	id=g:6242443
Fish Gully	id=g:6242444
Kite Te Tahu Creek	id=g:6242445
Gibson Creek	id=g:6242446
Glenroy Stream	id=g:6242447
Peter Creek	id=g:6242448
Wainui River	id=g:6242449
Wainui Falls	id=g:6242450
Awapoto River	id=g:6242451
Nakahi Stream	id=g:6242452
Pound Creek	id=g:6242453
Kuri Creek	id=g:6242454
Awaroa River	id=g:6242455
Sigley Creek	id=g:6242456
Long Branch Creek	id=g:6242457
Jenkins Falls	id=g:6242458
Table Creek	id=g:6242459
Frenchman Bay	id=g:6242460
Kilby Stream	id=g:6242461
Torrent River	id=g:6242462
Buttress Stream	id=g:6242463
Stream Cove	id=g:6242464
Astrolabe Roadstead	id=g:6242465
Lesson Creek	id=g:6242466
Simonet Creek	id=g:6242467
Tinline Stream	id=g:6242468
Marahau River	id=g:6242469
Cleopatras Pool	id=g:6242470
Pupu Springs	id=g:6242471
Richardson Stream	id=g:6242472
Alph Stream	id=g:6242473
Alph Caves	id=g:6242474
Barron Flat	id=g:6242475
Hailes Knob	id=g:6242476
ARTHUR RANGE	id=g:6242477
Eureka Bend	id=g:6242478
Upper Takaka	id=g:6242479
Bobs Lookout	id=g:6242480
Ngarua Caves	id=g:6242481
Kairuru	id=g:6242482
Moss Bush	id=g:6242483
Brooklyn	id=g:6242484
Thorpe Bush	id=g:6242485
Ferrer Creek	id=g:6242486
Outer Island	id=g:6242487
Torlesse Rock	id=g:6242488
Dummy Bay	id=g:6242489
Kaiteriteri	id=g:6242490
Breaker Bay	id=g:6242491
Honeymoon Bay	id=g:6242492
Kaka Island	id=g:6242493
Marahau	id=g:6242494
Uruwhenua	id=g:6242495
Lindsays Bridge	id=g:6242496
PIKIKIRUNA RANGE	id=g:6242497
Marble Acre Quarry	id=g:6242498
Harwoods Hole	id=g:6242499
Harwoods Track	id=g:6242500
Pages Saddle	id=g:6242501
